ora	max	med	err
0	0.30	0.30	0.00
6	0.35	0.35	0.00
9	0.40	0.38	0.02
12	0.40	0.40	0.00
15	0.50	0.40	0.10
18	0.40	0.38	0.02
20	0.40	0.35	0.05
22	0.45	0.42	0.03
24	0.45	0.43	0.02
26	0.50	0.47	0.03
28	0.45	0.45	0.00
30	0.45	0.45	0.00
32	0.45	0.45	0.00

ora	max	med	err
0	0.35	0.35	0.00
6	0.35	0.35	0.00
9	0.35	0.35	0.00
12	0.40	0.38	0.02
15	0.45	0.43	0.02
18	0.40	0.40	0.00
20	0.40	0.37	0.03
22	0.45	0.42	0.03
24	0.35	0.35	0.00
26	0.30	0.28	0.02
28	0.30	0.27	0.03
30	0.30	0.27	0.03
32	0.35	0.30	0.05

ora	max	med	err
0	0.45	0.45	0.00
6	0.40	0.40	0.00
9	0.75	0.62	0.13
12	0.85	0.72	0.13
15	0.70	0.69	0.01
18	0.80	0.70	0.10
20	0.90	0.87	0.03
22	0.85	0.83	0.02
24	0.85	0.67	0.18
26	1.00	0.83	0.17
28	1.00	0.93	0.07
30	1.00	1.00	0.00
32	1.30	1.22	0.08

ora	max	med	err
0	0.40	0.40	0.00
6	0.62	0.56	0.07
9	1.25	1.12	0.13
12	1.80	1.63	0.17
15	2.15	2.13	0.02
18	2.50	2.33	0.17
20	2.45	2.45	0.00
22	2.50	2.47	0.03
24	2.60	2.57	0.03
26	3.60	2.85	0.75
28	3.60	2.91	0.69
30	3.60	3.38	0.22
32	3.90	3.67	0.23

ora	max	med	err
0	0.40	0.40	0.00
6	0.75	0.63	0.12
9	1.55	1.50	0.05
12	2.10	2.05	0.05
15	2.80	2.38	0.42
18	2.55	2.42	0.13
20	2.60	2.47	0.13
22	2.50	2.47	0.03
24	2.50	2.48	0.02
26	2.50	2.47	0.03
28	3.50	2.97	0.53
30	3.60	3.33	0.27
32	3.90	3.53	0.37

ora	max	med	err
0	0.40	0.40	0.00
6	0.68	0.66	0.02
9	1.35	1.32	0.03
12	2.20	2.13	0.07
15	2.50	2.37	0.13
18	2.50	2.50	0.00
20	2.50	2.50	0.00
22	2.70	2.57	0.13
24	2.80	2.63	0.17
26	2.90	2.80	0.10
28	3.50	3.10	0.40
30	3.80	3.57	0.23
32	3.40	3.37	0.03

ora	max	med	err
0	0.35	0.35	0.00
6	0.40	0.35	0.05
9	0.85	0.82	0.03
12	1.80	1.77	0.03
15	2.20	2.17	0.03
18	2.50	2.40	0.10
20	2.45	2.42	0.03
22	2.50	2.45	0.05
24	3.20	3.18	0.02
26	3.30	3.15	0.15
28	3.20	3.13	0.07
30	3.00	3.00	0.00
32	3.15	3.08	0.07

ora	max	med	err
0	0.35	0.35	0.00
3	0.55	0.55	0.00
5	0.80	0.77	0.03
7	1.65	1.58	0.07
9	1.90	1.90	0.00
11	2.10	2.10	0.00
13	2.40	2.32	0.08
16	2.45	2.45	0.00
19	2.50	2.50	0.00
22	2.70	2.68	0.02
25	2.50	2.45	0.05
30	2.60	2.53	0.07
36	2.60	2.60	0.00

ora	max	med	err
0	0.35	0.35	0.00
3	0.45	0.43	0.02
5	0.85	0.80	0.05
7	1.00	0.98	0.02
9	1.70	1.63	0.07
11	2.10	2.05	0.05
13	2.05	2.00	0.05
16	2.45	2.13	0.32
19	2.30	2.27	0.03
22	2.10	2.10	0.00
25	2.10	2.07	0.03
29	2.10	2.10	0.00
36	2.10	2.05	0.05

ora	max	med	err
0	0.30	0.30	0.00
3	0.70	0.48	0.22
5	1.75	1.05	0.70
7	0.90	0.80	0.10
10	1.10	1.07	0.03
11	1.50	1.45	0.05
13	1.50	1.50	0.00
16	1.50	1.50	0.00
19	1.60	1.53	0.07
22	1.60	1.53	0.07
25	1.50	1.50	0.00
29	1.50	1.50	0.00
36	1.50	1.50	0.00

ora	max	med	err
0	0.35	0.35	0.00
3	0.50	0.47	0.03
5	0.90	0.83	0.07
7	1.15	1.12	0.03
9	1.30	1.25	0.05
11	1.20	1.20	0.00
13	1.30	1.27	0.03
16	1.30	1.23	0.07
19	1.30	1.30	0.00
22	1.30	1.30	0.00
25	1.30	1.30	0.00
29	1.30	1.25	0.05
36	1.30	1.28	0.02

ora	max	med	err
0	0.45	0.45	0.00
3	0.55	0.53	0.02
5	0.80	0.78	0.02
7	1.00	0.85	0.15
9	0.90	0.80	0.10
11	0.85	0.75	0.10
13	0.85	0.83	0.02
16	0.70	0.68	0.02
19	0.70	0.67	0.03
22	0.70	0.68	0.02
25	0.90	0.83	0.07
29	0.70	0.70	0.00
36	0.75	0.72	0.03

